gene	contig	start	end	strand	overlaps
flim	NZ_CP053835.1	332623	333720	-	
flgk	NZ_CP053835.1	338941	340827	+	
flid	NZ_CP053835.1	340839	342185	+	
flis	NZ_CP053835.1	342286	342642	+	
flip	NZ_CP053835.1	1202277	1203005	-	
mota	NZ_CP053835.1	1333322	1334080	+	
motb	NZ_CP053835.1	1334084	1334818	+	
flha	NZ_CP053835.1	2504146	2506257	-	
flgl	NZ_CP053835.1	2506277	2507422	-	
flhb	NZ_CP053835.1	2510721	2511770	-	
flgc	NZ_CP053835.1	2514686	2515150	-	
flie	NZ_CP053835.1	2515165	2515461	-	
flig	NZ_CP053835.1	2529482	2530486	-	
flif	NZ_CP053835.1	2530497	2532215	-	
flgb	NZ_CP053835.1	2532232	2532639	-	
flgg	NZ_CP053835.1	2534873	2535661	+	
