gene	contig	start	end	strand	overlaps
flik	NZ_LN831025.1	59222	60967	+	
flgd	NZ_LN831025.1	61021	61908	+	
flge	NZ_LN831025.1	61912	63549	+	
fliy	NZ_LN831025.1	72969	73811	-	flim
flim	NZ_LN831025.1	73808	74887	-	fliy
flif	NZ_LN831025.1	291437	293119	+	
flig	NZ_LN831025.1	293119	294147	+	
flih	NZ_LN831025.1	294155	294985	+	
flhb	NZ_LN831025.1	306078	307166	+	
motb	NZ_LN831025.1	307172	307915	-	
mota	NZ_LN831025.1	307918	308694	-	
flin	NZ_LN831025.1	324221	324529	+	
flie	NZ_LN831025.1	482602	482898	-	
flgc	NZ_LN831025.1	482905	483399	-	
flgb	NZ_LN831025.1	483409	483840	-	
flid	NZ_LN831025.1	503996	505924	+	
flis	NZ_LN831025.1	505936	506322	+	
flgh	NZ_LN831025.1	627572	628270	-	
flgg	NZ_LN831025.1	642494	643285	+	
flga	NZ_LN831025.1	709598	710260	-	
flip	NZ_LN831025.1	757621	758355	-	
flha	NZ_LN831025.1	807087	809261	-	
flgl	NZ_LN831025.1	813142	815394	-	
flgq	NZ_LN831025.1	1069045	1069494	-	flgp
flgp	NZ_LN831025.1	1069470	1069985	-	flgq
flir	NZ_LN831025.1	1217289	1218056	-	
flil	NZ_LN831025.1	1455028	1455564	+	
flgi	NZ_LN831025.1	1511625	1512671	+	
flgm	NZ_LN831025.1	1513075	1513272	+	
flgk	NZ_LN831025.1	1513758	1515584	+	
fliq	NZ_LN831025.1	1721191	1721460	+	
flge	NZ_LN831025.1	1763064	1765661	-	
