gene	contig	start	end	strand	overlaps
flim	NZ_CP053833.1	330280	331377	-	
flid	NZ_CP053833.1	338489	339835	+	
flis	NZ_CP053833.1	339937	340293	+	
flip	NZ_CP053833.1	1082247	1082975	-	
flha	NZ_CP053833.1	2168583	2170694	-	
flgl	NZ_CP053833.1	2170717	2171862	-	
flhb	NZ_CP053833.1	2175161	2176210	-	
flgc	NZ_CP053833.1	2178995	2179459	-	
flie	NZ_CP053833.1	2179473	2179766	-	
flig	NZ_CP053833.1	2193834	2194844	-	
flif	NZ_CP053833.1	2194859	2196577	-	
flgb	NZ_CP053833.1	2196594	2196998	-	
flgg	NZ_CP053833.1	2199228	2200013	+	
