gene	contig	start	end	strand	overlaps
flik	NZ_CP039734.2	68152	70035	+	
flif	NZ_CP039734.2	206921	208564	+	flig
flig	NZ_CP039734.2	208561	209589	+	flif
flih	NZ_CP039734.2	209591	210397	+	
flhb	NZ_CP039734.2	235287	236345	+	
flim	NZ_CP039734.2	301103	302164	+	
fliy	NZ_CP039734.2	302168	303031	+	
flir	NZ_CP039734.2	469157	469930	+	
flin	NZ_CP039734.2	596298	596609	-	
flil	NZ_CP039734.2	979284	979823	-	
motb	NZ_CP039734.2	1144416	1145210	-	
mota	NZ_CP039734.2	1145221	1145994	-	
flis	NZ_CP039734.2	1168327	1168704	-	
flid	NZ_CP039734.2	1168725	1169954	-	
flgk	NZ_CP039734.2	1174709	1176556	+	
flip	NZ_CP039734.2	1192113	1192847	+	
flgh	NZ_CP039734.2	1274678	1275385	+	
flga	NZ_CP039734.2	1433059	1433796	-	
flha	NZ_CP039734.2	1525462	1527654	+	
flgg	NZ_CP039734.2	1756034	1756822	-	
flie	NZ_CP039734.2	1871527	1871823	-	
flgc	NZ_CP039734.2	1871829	1872323	-	
flgb	NZ_CP039734.2	1872333	1872767	-	
fliq	NZ_CP039734.2	2667232	2667498	+	
flik	NZ_CP039734.2	2730610	2731116	+	
flge	NZ_CP039734.2	2733710	2736547	+	
