gene	contig	start	end	strand	overlaps
flir	NZ_JAFHKK010000001.1	40	807	-	
flgl	NZ_JAFHKK010000033.1	3164	5536	+	
flip	NZ_JAFHKK010000013.1	4853	5584	-	
flil	NZ_JAFHKK010000032.1	9617	10138	+	
flgb	NZ_JAFHKK010000018.1	13916	14344	+	
flgc	NZ_JAFHKK010000018.1	14355	14849	+	
flie	NZ_JAFHKK010000018.1	14856	15149	+	
fliq	NZ_JAFHKK010000012.1	16940	17206	-	
flgg	NZ_JAFHKK010000017.1	17382	18170	+	
flga	NZ_JAFHKK010000014.1	19126	19926	+	
flgk	NZ_JAFHKK010000013.1	20247	22100	-	
flid	NZ_JAFHKK010000013.1	30083	31783	+	
flis	NZ_JAFHKK010000013.1	31802	32176	+	
flha	NZ_JAFHKK010000004.1	57186	59369	+	
flif	NZ_JAFHKK010000002.1	58111	59820	+	
flig	NZ_JAFHKK010000002.1	59821	60849	+	
flih	NZ_JAFHKK010000002.1	60849	61619	+	
flik	NZ_JAFHKK010000007.1	76606	78135	+	
flge	NZ_JAFHKK010000007.1	80689	83487	+	
flhb	NZ_JAFHKK010000002.1	81655	82716	+	
flim	NZ_JAFHKK010000002.1	105266	106339	+	fliy
fliy	NZ_JAFHKK010000002.1	106332	107183	+	flim
flin	NZ_JAFHKK010000003.1	128402	128713	+	
