gene	contig	start	end	strand	overlaps
flga	NZ_AP023212.1	30610	31347	-	
flgl	NZ_AP023212.1	32225	33913	+	
flil	NZ_AP023212.1	80692	81225	-	
flis	NZ_AP023212.1	236931	237311	-	
flgk	NZ_AP023212.1	240965	242767	+	
flgh	NZ_AP023212.1	249167	249868	+	
flgg	NZ_AP023212.1	491527	492315	-	
flha	NZ_AP023212.1	697822	699978	+	
flin	NZ_AP023212.1	765804	766115	+	
flgb	NZ_AP023212.1	1215676	1216098	+	
flgc	NZ_AP023212.1	1216119	1216613	+	
flie	NZ_AP023212.1	1216627	1216932	+	
flid	NZ_AP023212.1	1685797	1687164	-	
fliq	NZ_AP023212.1	1697256	1697522	+	
flir	NZ_AP023212.1	1780241	1781011	+	
flif	NZ_AP023212.1	1883142	1884845	+	
flig	NZ_AP023212.1	1884848	1885873	+	
flih	NZ_AP023212.1	1885875	1886747	+	
flhb	NZ_AP023212.1	1916784	1917839	+	
flim	NZ_AP023212.1	1938180	1939259	+	fliy
fliy	NZ_AP023212.1	1939252	1940121	+	flim
flip	NZ_AP023212.1	2288189	2288932	+	
