gene	contig	start	end	strand	overlaps
flgg	NZ_JRPD02000043.1	457	1248	-	
flgk	NZ_JRPD02000022.1	8406	10226	-	
flgh	NZ_JRPD02000017.1	8936	9646	+	
flif	NZ_JRPD02000014.1	16931	18622	+	
flig	NZ_JRPD02000014.1	18651	19682	+	flih
flih	NZ_JRPD02000014.1	19669	20475	+	flig
flie	NZ_JRPD02000021.1	20588	20887	-	
flgc	NZ_JRPD02000021.1	20962	21453	-	
flgb	NZ_JRPD02000021.1	21492	21950	-	
flik	NZ_JRPD02000023.1	24587	26362	+	
flin	NZ_JRPD02000004.1	27985	28380	-	
flip	NZ_JRPD02000004.1	40419	41312	+	
flgl	NZ_JRPD02000008.1	55063	57615	+	
flir	NZ_JRPD02000006.1	78208	78990	-	
fliq	NZ_JRPD02000005.1	82860	83126	-	
flim	NZ_JRPD02000001.1	86531	87601	+	fliy
fliy	NZ_JRPD02000001.1	87594	88433	+	flim
flha	NZ_JRPD02000005.1	88237	90477	+	
flgd	NZ_JRPD02000001.1	89506	90744	+	
flis	NZ_JRPD02000002.1	103345	103734	-	
flid	NZ_JRPD02000002.1	103745	105772	-	
motb	NZ_JRPD02000004.1	107541	108299	-	
mota	NZ_JRPD02000004.1	108355	109125	-	
flge	NZ_JRPD02000002.1	112294	114450	+	
flga	NZ_JRPD02000004.1	139252	139914	+	
flhb	NZ_JRPD02000001.1	168862	169989	+	
