gene	contig	start	end	strand	overlaps
flge	NZ_CP007773.1	93987	96437	+	
fliq	NZ_CP007773.1	135916	136182	+	
flin	NZ_CP007773.1	157026	157322	+	
flim	NZ_CP007773.1	208782	209873	+	fliy
fliy	NZ_CP007773.1	209863	210702	+	flim
flil	NZ_CP007773.1	248260	248793	-	
flgk	NZ_CP007773.1	387337	389166	-	
flgn	NZ_CP007773.1	389178	389612	-	
flgh	NZ_CP007773.1	718175	718876	-	
flga	NZ_CP007773.1	830488	831189	+	
flis	NZ_CP007773.1	848460	848831	-	
flid	NZ_CP007773.1	848846	851218	-	
flgl	NZ_CP007773.1	920895	923123	-	
flha	NZ_CP007773.1	1175953	1178112	-	
flip	NZ_CP007773.1	1214866	1215600	+	
flgg	NZ_CP007773.1	1245046	1245840	-	
flgb	NZ_CP007773.1	1293551	1293982	+	
flgc	NZ_CP007773.1	1293993	1294487	+	
flie	NZ_CP007773.1	1294491	1294787	+	
flir	NZ_CP007773.1	1319326	1320096	-	
flhb	NZ_CP007773.1	1572987	1574063	-	
motb	NZ_CP007773.1	1580476	1581210	-	
mota	NZ_CP007773.1	1581220	1581993	-	
flih	NZ_CP007773.1	1601270	1602085	-	
flig	NZ_CP007773.1	1602090	1603118	-	
flif	NZ_CP007773.1	1603118	1604803	-	
flik	NZ_CP007773.1	1783460	1785109	+	
