gene	contig	start	end	strand	overlaps
flge	NZ_CP007766.1	88026	90494	+	
fliq	NZ_CP007766.1	141118	141384	+	
flin	NZ_CP007766.1	163692	163988	+	
flim	NZ_CP007766.1	219334	220425	+	fliy
fliy	NZ_CP007766.1	220415	221257	+	flim
flil	NZ_CP007766.1	271284	271820	-	
flgk	NZ_CP007766.1	412962	414791	-	
flik	NZ_CP007766.1	541507	543618	-	
flgh	NZ_CP007766.1	721357	722052	-	
flga	NZ_CP007766.1	823939	824601	+	
flis	NZ_CP007766.1	840719	841090	-	
flid	NZ_CP007766.1	841108	843405	-	
flgl	NZ_CP007766.1	899461	901668	-	
flha	NZ_CP007766.1	1075057	1077219	-	
flip	NZ_CP007766.1	1112604	1113338	+	
flgg	NZ_CP007766.1	1149149	1149943	-	
flgb	NZ_CP007766.1	1197633	1198064	+	
flgc	NZ_CP007766.1	1198075	1198569	+	
flie	NZ_CP007766.1	1198575	1198871	+	
flir	NZ_CP007766.1	1223415	1224185	-	
flhb	NZ_CP007766.1	1471158	1472234	-	
motb	NZ_CP007766.1	1478596	1479333	-	
mota	NZ_CP007766.1	1479344	1480117	-	
flih	NZ_CP007766.1	1502568	1503389	-	
flig	NZ_CP007766.1	1503393	1504421	-	
flif	NZ_CP007766.1	1504421	1506106	-	
flik	NZ_CP007766.1	1651435	1653201	+	
