gene	contig	start	end	strand	overlaps
flgg	NZ_RCWF01000007.1	67017	67805	-	
flgb	NZ_RCWF01000007.1	70062	70466	+	
flif	NZ_RCWF01000007.1	70483	72210	+	
flig	NZ_RCWF01000007.1	72210	73211	+	
flie	NZ_RCWF01000007.1	86207	86500	+	
flgc	NZ_RCWF01000007.1	86510	86971	+	
flhb	NZ_RCWF01000007.1	89886	90935	+	
flim	NZ_RCWF01000003.1	94177	95286	-	
flha	NZ_RCWF01000007.1	95400	97511	+	
flid	NZ_RCWF01000003.1	102107	103435	+	
flis	NZ_RCWF01000003.1	103532	103888	+	
flip	NZ_RCWF01000001.1	354904	355632	+	
