gene	contig	start	end	strand	overlaps
flin	NZ_UGIA01000001.1	111203	111574	-	
flgd	NZ_UGIA01000001.1	240690	241568	-	
flgl	NZ_UGIA01000001.1	308742	311225	-	
flgk	NZ_UGIA01000001.1	344769	346589	+	
flhb	NZ_UGIA01000001.1	391477	392553	-	
flis	NZ_UGIA01000001.1	403087	403467	-	
flid	NZ_UGIA01000001.1	403512	405569	-	
mota	NZ_UGIA01000001.1	451314	452087	+	
motb	NZ_UGIA01000001.1	452090	452851	+	
flil	NZ_UGIA01000001.1	539791	540342	+	
flip	NZ_UGIA01000001.1	576346	577041	+	
flih	NZ_UGIA01000001.1	671581	672357	-	flig
flig	NZ_UGIA01000001.1	672344	673375	-	flih
flif	NZ_UGIA01000001.1	673415	675118	-	
flgh	NZ_UGIA01000001.1	692403	693101	-	
fliy	NZ_UGIA01000001.1	805925	806776	-	
flha	NZ_UGIA01000001.1	815144	817345	+	
flge	NZ_UGIA01000001.1	887849	890005	-	
flir	NZ_UGIA01000001.1	1049131	1049898	+	
flgg	NZ_UGIA01000001.1	1140437	1141225	-	
fliq	NZ_UGIA01000001.1	1254225	1254491	+	
flga	NZ_UGIA01000001.1	1392722	1393378	+	
flgb	NZ_UGIA01000001.1	1449547	1449969	+	
flgc	NZ_UGIA01000001.1	1449983	1450468	+	
flie	NZ_UGIA01000001.1	1450576	1450905	+	
