gene	contig	start	end	strand	overlaps
flir	NZ_SDID01000006.1	7995	8759	-	
flim	NZ_SDID01000038.1	9375	10469	+	
fliy	NZ_SDID01000038.1	10470	11345	+	
flgk	NZ_SDID01000029.1	10669	12552	+	
flga	NZ_SDID01000026.1	16855	17733	-	
flhb	NZ_SDID01000027.1	18787	19839	+	
flha	NZ_SDID01000017.1	40070	42160	+	
flin	NZ_SDID01000014.1	47054	47380	-	
flif	NZ_SDID01000008.1	59868	61577	+	
flig	NZ_SDID01000008.1	61581	62609	+	
flgg	NZ_SDID01000001.1	61773	62561	-	
flih	NZ_SDID01000008.1	62614	63399	+	
flge	NZ_SDID01000002.1	71065	73206	+	
flgb	NZ_SDID01000006.1	79988	80419	+	
flgc	NZ_SDID01000006.1	80419	80913	+	
flie	NZ_SDID01000006.1	80929	81228	+	
flil	NZ_SDID01000007.1	88867	89424	+	
flip	NZ_SDID01000001.1	109773	110507	-	
flgh	NZ_SDID01000007.1	113325	114050	-	
fliq	NZ_SDID01000002.1	138373	138639	-	
flid	NZ_SDID01000002.1	174624	175994	+	
flis	NZ_SDID01000002.1	176054	176425	+	
