gene	contig	start	end	strand	overlaps
fliy	NZ_CDMG01000009.1	55877	56755	-	
flim	NZ_CDMG01000009.1	56755	57816	-	
flip	NZ_CDMG01000004.1	72153	72881	-	
flha	NZ_CDMG01000009.1	117466	119664	+	
flgh	NZ_CDMG01000002.1	119733	120440	+	
flid	NZ_CDMG01000002.1	136735	138810	+	
flis	NZ_CDMG01000002.1	138823	139206	+	
flil	NZ_CDMG01000002.1	146633	147184	-	
flgk	NZ_CDMG01000009.1	156497	158320	-	
flgb	NZ_CDMG01000002.1	163474	163896	+	
flgc	NZ_CDMG01000002.1	163906	164397	+	
flie	NZ_CDMG01000002.1	164489	164791	+	
flge	NZ_CDMG01000009.1	255093	257249	-	
fliq	NZ_CDMG01000004.1	263703	263969	-	
flik	NZ_CDMG01000002.1	270812	272377	+	
flir	NZ_CDMG01000002.1	369018	369785	-	
flif	NZ_CDMG01000009.1	373977	375680	+	
flig	NZ_CDMG01000009.1	375680	376708	+	flih
flih	NZ_CDMG01000009.1	376695	377492	+	flig
flgg	NZ_CDMG01000009.1	380386	381174	-	
flgd	NZ_CDMG01000002.1	388293	389654	-	
mota	NZ_CDMG01000009.1	423009	423779	+	
motb	NZ_CDMG01000009.1	423779	424546	+	
flhb	NZ_CDMG01000009.1	434639	435694	-	
flin	NZ_CDMG01000009.1	452365	452781	-	
flgl	NZ_CDMG01000002.1	477818	480352	-	
flga	NZ_CDMG01000002.1	559004	559678	+	
