gene	contig	start	end	strand	overlaps
flgg	NZ_NXLY01000011.1	349	1140	-	
flgl	NZ_NXLY01000005.1	1548	3797	+	
flha	NZ_NXLY01000005.1	7720	9894	+	
fliq	NZ_NXLY01000007.1	8434	8703	+	
flgk	NZ_NXLY01000020.1	11153	12979	+	
flgh	NZ_NXLY01000011.1	11389	12087	+	
flgp	NZ_NXLY01000003.1	17064	17585	-	
flga	NZ_NXLY01000012.1	29300	29962	+	
flir	NZ_NXLY01000004.1	30893	31660	-	
flge	NZ_NXLY01000007.1	48393	50924	-	
flis	NZ_NXLY01000004.1	53172	53555	-	
flid	NZ_NXLY01000004.1	53567	55558	-	
flip	NZ_NXLY01000005.1	57736	58455	+	
flil	NZ_NXLY01000006.1	58514	59050	+	
flgb	NZ_NXLY01000004.1	71642	72073	+	
flgc	NZ_NXLY01000004.1	72083	72577	+	
flie	NZ_NXLY01000004.1	72584	72883	+	
flin	NZ_NXLY01000002.1	73774	74079	-	
mota	NZ_NXLY01000002.1	83539	84315	+	
motb	NZ_NXLY01000002.1	84318	85049	+	
flhb	NZ_NXLY01000002.1	85061	86152	-	
flih	NZ_NXLY01000002.1	97322	98140	-	
flig	NZ_NXLY01000002.1	98148	99176	-	
flif	NZ_NXLY01000002.1	99177	100859	-	
flim	NZ_NXLY01000001.1	158295	159374	+	fliy
fliy	NZ_NXLY01000001.1	159371	160207	+	flim
flik	NZ_NXLY01000001.1	168626	170368	-	
