gene	contig	start	end	strand	overlaps
flie	NZ_CDMK01000001.1	75098	75400	-	
flgc	NZ_CDMK01000001.1	75496	75987	-	
flgb	NZ_CDMK01000001.1	75997	76419	-	
flil	NZ_CDMK01000001.1	102455	103009	+	
fliy	NZ_CDMK01000002.1	187723	188604	-	flim
flim	NZ_CDMK01000002.1	188601	189662	-	fliy
flgk	NZ_CDMK01000003.1	197796	199619	+	
fliq	NZ_CDMK01000003.1	216701	216967	+	
flis	NZ_CDMK01000001.1	269006	269389	-	
flid	NZ_CDMK01000001.1	269402	271477	-	
flir	NZ_CDMK01000001.1	316938	317705	-	
flgd	NZ_CDMK01000001.1	336179	337564	-	
flif	NZ_CDMK01000002.1	368737	370437	+	flig
flig	NZ_CDMK01000002.1	370434	371465	+	flif,flih
flih	NZ_CDMK01000002.1	371452	372252	+	flig
flgg	NZ_CDMK01000002.1	375267	376055	-	
flgh	NZ_CDMK01000001.1	432391	433095	+	
flga	NZ_CDMK01000002.1	440456	441130	+	
flha	NZ_CDMK01000002.1	444903	447101	+	
flin	NZ_CDMK01000001.1	523856	524293	+	
flhb	NZ_CDMK01000001.1	539399	540454	+	
flip	NZ_CDMK01000001.1	675271	675999	+	
flgl	NZ_CDMK01000001.1	708792	711326	+	
flge	NZ_CDMK01000001.1	740971	743127	+	
mota	NZ_CDMK01000001.1	817055	817825	+	
motb	NZ_CDMK01000001.1	817825	818598	+	
