gene	contig	start	end	strand	overlaps
flgg	NZ_QXQP01000029.1	247	1035	+	
flgh	NZ_QXQP01000014.1	3078	3791	+	
flgk	NZ_QXQP01000017.1	7024	8844	+	
flie	NZ_QXQP01000022.1	8854	9156	-	
flgc	NZ_QXQP01000022.1	9228	9719	-	
flgb	NZ_QXQP01000022.1	9734	10156	-	
flig	NZ_QXQP01000004.1	11470	12450	-	
flha	NZ_QXQP01000008.1	11852	14050	+	
flir	NZ_QXQP01000013.1	12263	13030	+	
flif	NZ_QXQP01000004.1	12502	14205	-	
fliy	NZ_QXQP01000007.1	15941	16819	-	
flim	NZ_QXQP01000007.1	16819	17880	-	
flin	NZ_QXQP01000021.1	17813	18232	+	
mota	NZ_QXQP01000017.1	19167	19937	+	
flga	NZ_QXQP01000010.1	19519	20187	+	
motb	NZ_QXQP01000017.1	19941	20711	+	
fliq	NZ_QXQP01000019.1	23382	23648	+	
flil	NZ_QXQP01000019.1	25274	25825	-	
flis	NZ_QXQP01000005.1	33462	33845	-	
flid	NZ_QXQP01000005.1	33857	35941	-	
flgl	NZ_QXQP01000002.1	40453	42987	+	
flip	NZ_QXQP01000010.1	46230	46961	-	
flge	NZ_QXQP01000005.1	54325	56481	+	
flgd	NZ_QXQP01000004.1	58785	59939	-	
flik	NZ_QXQP01000004.1	59989	61251	-	
