gene	contig	start	end	strand	overlaps
flis	NZ_AP025696.1	581	949	-	
flid	NZ_AP025696.1	961	2289	-	
flhb	NZ_AP025696.1	13378	14433	+	
fliq	NZ_AP025696.1	15203	15472	-	flip
flip	NZ_AP025696.1	15469	16203	-	fliq
flif	NZ_AP025696.1	21659	23251	-	
flie	NZ_AP025696.1	23263	23553	-	
flgc	NZ_AP025696.1	23562	23984	-	
flgb	NZ_AP025696.1	23987	24364	-	
flha	NZ_AP025696.1	30527	32617	-	
flga	NZ_AP025696.1	34840	35817	-	flgg
flgg	NZ_AP025696.1	35780	36580	-	flga
flin	NZ_AP025696.1	37364	37894	-	flim
flim	NZ_AP025696.1	37887	38846	-	flin
flig	NZ_AP025696.1	39245	40264	-	
flgk	NZ_AP025696.1	1767125	1768912	+	
