gene	contig	start	end	strand	overlaps
flik	NZ_CP009043.1	16562	18064	-	
fliq	NZ_CP009043.1	209202	209468	+	
mota	NZ_CP009043.1	234689	235459	+	
motb	NZ_CP009043.1	235468	236184	+	
flih	NZ_CP009043.1	265046	265834	-	flig
flig	NZ_CP009043.1	265831	266859	-	flih
flif	NZ_CP009043.1	266859	268559	-	
flhb	NZ_CP009043.1	336833	337906	+	
flin	NZ_CP009043.1	400835	401140	+	
flis	NZ_CP009043.1	489294	489671	-	
flid	NZ_CP009043.1	489681	491489	-	
flgn	NZ_CP009043.1	494623	495060	+	
flgk	NZ_CP009043.1	495062	496909	+	
flgg	NZ_CP009043.1	671076	671864	+	
flie	NZ_CP009043.1	770152	770439	-	
flgc	NZ_CP009043.1	770442	770936	-	
flgb	NZ_CP009043.1	770946	771383	-	
flip	NZ_CP009043.1	816889	817623	+	
flga	NZ_CP009043.1	855481	855996	-	
flil	NZ_CP009043.1	1042109	1042627	-	
flgh	NZ_CP009043.1	1068100	1068798	-	
flha	NZ_CP009043.1	1148077	1150221	-	
flir	NZ_CP009043.1	1425168	1425941	-	
flim	NZ_CP009043.1	1450270	1451364	+	fliy
fliy	NZ_CP009043.1	1451354	1452193	+	flim
