gene	contig	start	end	strand	overlaps
fliq	NZ_JANZKZ010000003.1	42087	42353	-	
flil	NZ_JANZKZ010000002.1	67552	68097	-	
motb	NZ_JANZKZ010000002.1	209742	210536	-	
mota	NZ_JANZKZ010000002.1	210548	211321	-	
flis	NZ_JANZKZ010000002.1	226611	226988	-	
flid	NZ_JANZKZ010000002.1	227004	228686	-	
flgk	NZ_JANZKZ010000002.1	232958	234805	+	
flip	NZ_JANZKZ010000002.1	257974	258675	+	
flin	NZ_JANZKZ010000001.1	304787	305104	+	
flgh	NZ_JANZKZ010000002.1	330465	331178	+	
flir	NZ_JANZKZ010000001.1	427340	428113	-	
flga	NZ_JANZKZ010000002.1	433610	434347	-	
flha	NZ_JANZKZ010000002.1	527472	529664	+	
fliy	NZ_JANZKZ010000001.1	556051	556911	-	
flim	NZ_JANZKZ010000001.1	556915	557976	-	
flhb	NZ_JANZKZ010000001.1	623008	624066	-	
flih	NZ_JANZKZ010000001.1	648882	649685	-	
flig	NZ_JANZKZ010000001.1	649687	650715	-	flif
flif	NZ_JANZKZ010000001.1	650712	652436	-	flig
flgg	NZ_JANZKZ010000002.1	744510	745298	-	
flik	NZ_JANZKZ010000001.1	794136	796013	-	
flie	NZ_JANZKZ010000002.1	857614	857910	-	
flgc	NZ_JANZKZ010000002.1	857916	858410	-	
flgb	NZ_JANZKZ010000002.1	858420	858857	-	
flge	NZ_JANZKZ010000001.1	867925	870663	-	
