gene	contig	start	end	strand	overlaps
flgg	NZ_QPGR01000001.1	4199	4990	+	
flgl	NZ_QPGR01000001.1	14941	17199	+	
flis	NZ_QPGR01000007.1	17206	17589	-	
flid	NZ_QPGR01000007.1	17599	19539	-	
flip	NZ_QPGR01000005.1	19975	20712	-	
flgb	NZ_QPGR01000007.1	34467	34898	+	
flgc	NZ_QPGR01000007.1	34908	35402	+	
flie	NZ_QPGR01000007.1	35405	35704	+	
flil	NZ_QPGR01000011.1	42050	42589	+	
flga	NZ_QPGR01000010.1	44784	45443	+	
flgk	NZ_QPGR01000007.1	52173	53999	-	
fliq	NZ_QPGR01000002.1	54205	54474	+	
flgp	NZ_QPGR01000001.1	61916	62437	+	
flir	NZ_QPGR01000004.1	76519	77286	+	
flim	NZ_QPGR01000002.1	82800	83885	+	fliy
fliy	NZ_QPGR01000002.1	83882	84718	+	flim
flha	NZ_QPGR01000001.1	88487	90652	+	
flif	NZ_QPGR01000003.1	102788	104467	+	
flig	NZ_QPGR01000003.1	104467	105495	+	
flih	NZ_QPGR01000003.1	105503	106312	+	
flhb	NZ_QPGR01000003.1	117214	118302	+	motb
motb	NZ_QPGR01000003.1	118299	119030	-	flhb
mota	NZ_QPGR01000003.1	119033	119809	-	
flin	NZ_QPGR01000003.1	129676	129984	+	
flge	NZ_QPGR01000002.1	160042	162615	-	
flgh	NZ_QPGR01000001.1	164375	165073	-	
