gene	contig	start	end	strand	overlaps
flge	NZ_CP053848.1	100065	102524	+	
fliq	NZ_CP053848.1	142553	142819	+	
flin	NZ_CP053848.1	165126	165422	+	
flim	NZ_CP053848.1	217303	218394	+	fliy
fliy	NZ_CP053848.1	218384	219223	+	flim
flil	NZ_CP053848.1	251746	252291	-	
flgk	NZ_CP053848.1	379989	381818	-	
flgn	NZ_CP053848.1	381830	382264	-	
flgh	NZ_CP053848.1	681226	681927	-	
flga	NZ_CP053848.1	804771	805439	+	
flis	NZ_CP053848.1	821559	821930	-	
flid	NZ_CP053848.1	821952	824243	-	
flgl	NZ_CP053848.1	883682	885916	-	
flha	NZ_CP053848.1	988006	990165	-	
flip	NZ_CP053848.1	1026861	1027595	+	
flgg	NZ_CP053848.1	1062956	1063750	-	
flgb	NZ_CP053848.1	1111657	1112088	+	
flgc	NZ_CP053848.1	1112099	1112593	+	
flie	NZ_CP053848.1	1112597	1112893	+	
flir	NZ_CP053848.1	1139697	1140467	-	
flhb	NZ_CP053848.1	1395599	1396675	-	
motb	NZ_CP053848.1	1405287	1406030	-	
mota	NZ_CP053848.1	1406041	1406814	-	
flih	NZ_CP053848.1	1425281	1426093	-	
flig	NZ_CP053848.1	1426098	1427126	-	
flif	NZ_CP053848.1	1427126	1428811	-	
