gene	contig	start	end	strand	overlaps
flir	NZ_CP063533.1	17744	18523	+	
fliy	NZ_CP063533.1	94158	94997	-	
flim	NZ_CP063533.1	95000	96058	-	
flha	NZ_CP063533.1	162625	164880	+	
fliq	NZ_CP063533.1	206209	206475	-	
flie	NZ_CP063533.1	292894	293211	-	
flgc	NZ_CP063533.1	293222	293722	-	
flgb	NZ_CP063533.1	293733	294167	-	
flin	NZ_CP063533.1	331509	331868	+	
flge	NZ_CP063533.1	352792	355068	+	
flih	NZ_CP063533.1	511521	512360	-	flig
flig	NZ_CP063533.1	512353	513387	-	flih
flif	NZ_CP063533.1	513387	515105	-	
flgk	NZ_CP063533.1	535532	537358	+	
flil	NZ_CP063533.1	657660	658196	+	
flgd	NZ_CP063533.1	738135	739301	-	
flip	NZ_CP063533.1	878931	879653	-	
flid	NZ_CP063533.1	930149	932218	+	
flis	NZ_CP063533.1	932230	932607	+	
flgh	NZ_CP063533.1	1101225	1101959	+	
flgl	NZ_CP063533.1	1303163	1305793	+	
flgg	NZ_CP063533.1	1363271	1364062	-	
flhb	NZ_CP063533.1	1629414	1630478	-	
