gene	contig	start	end	strand	overlaps
flip	NZ_CP054052.1	2270032	2270763	+	
flha	NZ_CP054052.1	2935122	2937239	-	
flgl	NZ_CP054052.1	2937256	2938395	-	
flhb	NZ_CP054052.1	2941694	2942743	-	
flgc	NZ_CP054052.1	2946075	2946545	-	
flie	NZ_CP054052.1	2946558	2946866	-	
flig	NZ_CP054052.1	2961042	2962049	-	
flif	NZ_CP054052.1	2962060	2963778	-	
flgb	NZ_CP054052.1	2963795	2964208	-	
flgg	NZ_CP054052.1	2966528	2967316	+	
flis	NZ_CP054052.1	3237564	3237920	-	
flid	NZ_CP054052.1	3238012	3239376	-	
flim	NZ_CP054052.1	3246575	3247687	+	
