gene	contig	start	end	strand	overlaps
flgb	NZ_JQLX01000014.1	5546	5944	+	
flgc	NZ_JQLX01000014.1	5955	6368	+	
flie	NZ_JQLX01000014.1	6400	6699	+	
flif	NZ_JQLX01000014.1	6744	8396	+	
flig	NZ_JQLX01000014.1	8400	9431	+	
flge	NZ_JQLX01000012.1	23316	25499	-	
flgl	NZ_JQLX01000002.1	27222	29933	-	
flgk	NZ_JQLX01000002.1	29933	31672	-	
flgm	NZ_JQLX01000002.1	32130	32429	-	
flha	NZ_JQLX01000013.1	45156	47210	-	
flin	NZ_JQLX01000016.1	57529	58500	-	
flim	NZ_JQLX01000016.1	58511	59494	-	
flis	NZ_JQLX01000012.1	201979	202359	-	
flid	NZ_JQLX01000012.1	202758	204131	-	
flhb	NZ_JQLX01000012.1	204178	205239	-	
flir	NZ_JQLX01000012.1	205240	206028	-	fliq
fliq	NZ_JQLX01000012.1	206025	206294	-	flir
flip	NZ_JQLX01000012.1	206298	207050	-	flio
flio	NZ_JQLX01000012.1	207034	207354	-	flip
flga	NZ_JQLX01000010.1	239293	240204	-	flgg
flgg	NZ_JQLX01000010.1	240134	240922	-	flga
