gene	contig	start	end	strand	overlaps
flio	NZ_MDSU01000011.1	2249	2578	+	flip
flip	NZ_MDSU01000011.1	2562	3314	+	flio
fliq	NZ_MDSU01000011.1	3323	3592	+	flir
flir	NZ_MDSU01000011.1	3589	4377	+	fliq
flhb	NZ_MDSU01000011.1	4377	5438	+	
flid	NZ_MDSU01000011.1	5471	6832	+	
flis	NZ_MDSU01000011.1	7250	7627	+	
flga	NZ_MDSU01000010.1	20447	21352	-	flgg
flga	NZ_MDSU01000004.1	20832	21737	-	flgg
flgg	NZ_MDSU01000010.1	21291	22079	-	flga
flgg	NZ_MDSU01000004.1	21676	22464	-	flga
flha	NZ_MDSU01000010.1	43661	45733	-	
flha	NZ_MDSU01000004.1	44046	46118	-	
flgn	NZ_MDSU01000018.1	143982	144392	+	
flgk	NZ_MDSU01000018.1	144394	146169	+	
flgl	NZ_MDSU01000018.1	146181	148550	+	
flgb	NZ_MDSU01000018.1	446925	447317	+	
flgc	NZ_MDSU01000018.1	447321	447725	+	
flie	NZ_MDSU01000018.1	447766	448056	+	
flif	NZ_MDSU01000018.1	448074	449750	+	
flig	NZ_MDSU01000018.1	449761	450792	+	
flim	NZ_MDSU01000018.1	1081997	1082968	+	
flin	NZ_MDSU01000018.1	1082980	1083858	+	
