gene	contig	start	end	strand	overlaps
flhb	NZ_JAERIT010000003.1	2265	3329	-	
flip	NZ_JAERIT010000002.1	4943	5698	-	
flgk	NZ_JAERIT010000011.1	9989	11818	+	
flim	NZ_JAERIT010000007.1	13847	14905	+	
fliy	NZ_JAERIT010000007.1	14914	15768	+	
flge	NZ_JAERIT010000003.1	18366	20609	-	
flgh	NZ_JAERIT010000004.1	26545	27279	-	
flir	NZ_JAERIT010000009.1	56175	56945	+	
flin	NZ_JAERIT010000006.1	82675	83034	-	
flis	NZ_JAERIT010000005.1	89587	89967	-	
flid	NZ_JAERIT010000005.1	89982	92042	-	
flil	NZ_JAERIT010000004.1	98072	98605	-	
flgg	NZ_JAERIT010000003.1	122094	122885	+	
flgb	NZ_JAERIT010000003.1	123304	123738	+	
flgc	NZ_JAERIT010000003.1	123749	124249	+	
flie	NZ_JAERIT010000003.1	124260	124577	+	
flif	NZ_JAERIT010000002.1	140533	142260	+	
flig	NZ_JAERIT010000002.1	142263	143297	+	flih
flgd	NZ_JAERIT010000005.1	142541	143653	+	
flih	NZ_JAERIT010000002.1	143290	144150	+	flig
flgl	NZ_JAERIT010000002.1	166800	169424	+	
flha	NZ_JAERIT010000001.1	228235	230499	+	
fliq	NZ_JAERIT010000001.1	275050	275316	-	
