gene	contig	start	end	strand	overlaps
flif	NZ_CP012544.1	274115	275809	+	
flig	NZ_CP012544.1	275809	276840	+	flih
flih	NZ_CP012544.1	276837	277649	+	flig
flin	NZ_CP012544.1	310835	311131	-	
flhb	NZ_CP012544.1	352490	353566	-	
flim	NZ_CP012544.1	404461	405567	+	fliy
fliy	NZ_CP012544.1	405560	406393	+	flim
flik	NZ_CP012544.1	702100	703797	+	
flha	NZ_CP012544.1	811415	813577	+	
flgg	NZ_CP012544.1	856640	857428	+	
flip	NZ_CP012544.1	901989	902720	+	
flgh	NZ_CP012544.1	1038321	1039022	+	
flga	NZ_CP012544.1	1050288	1051094	-	
flil	NZ_CP012544.1	1093388	1093921	+	
flgk	NZ_CP012544.1	1145023	1146876	-	
flgn	NZ_CP012544.1	1146880	1147308	-	
flid	NZ_CP012544.1	1150511	1152244	+	
flis	NZ_CP012544.1	1152256	1152648	+	
flgb	NZ_CP012544.1	1345097	1345534	+	
flgc	NZ_CP012544.1	1345544	1346041	+	
flie	NZ_CP012544.1	1346047	1346349	+	
flir	NZ_CP012544.1	1634362	1635123	-	
fliq	NZ_CP012544.1	1935797	1936063	+	
flik	NZ_CP012544.1	2061734	2063182	+	
flge	NZ_CP012544.1	2092463	2094733	+	
