gene	contig	start	end	strand	overlaps
flik	NZ_CP032098.1	1667575	1669803	+	
flip	NZ_CP032098.1	1672406	1673134	+	
flha	NZ_CP032098.1	2172527	2174638	-	
flgl	NZ_CP032098.1	2174651	2175796	-	
flhb	NZ_CP032098.1	2179098	2180150	-	
flgc	NZ_CP032098.1	2183453	2183917	-	
flie	NZ_CP032098.1	2183936	2184238	-	
flig	NZ_CP032098.1	2198613	2199620	-	
flif	NZ_CP032098.1	2199620	2201359	-	
flgb	NZ_CP032098.1	2201376	2201780	-	
flgg	NZ_CP032098.1	2204171	2204956	+	
flis	NZ_CP032098.1	2482981	2483337	-	
flid	NZ_CP032098.1	2483437	2484798	-	
flim	NZ_CP032098.1	2492087	2493184	+	
