gene	contig	start	end	strand	overlaps
flir	NZ_JAQSLK010000002.1	23709	24476	+	
flhb	NZ_JAQSLK010000005.1	26012	27094	-	
flid	NZ_JAQSLK010000006.1	44836	46725	+	
flis	NZ_JAQSLK010000006.1	46734	47129	+	
flin	NZ_JAQSLK010000003.1	64793	65101	-	
fliy	NZ_JAQSLK010000006.1	70140	70961	-	flim
flim	NZ_JAQSLK010000006.1	70951	72066	-	fliy
flgn	NZ_JAQSLK010000007.1	73858	74295	+	
flgk	NZ_JAQSLK010000007.1	74298	76160	+	
flif	NZ_JAQSLK010000006.1	91592	93322	+	
flig	NZ_JAQSLK010000006.1	93322	94350	+	
flih	NZ_JAQSLK010000006.1	94350	95165	+	
fliq	NZ_JAQSLK010000004.1	106971	107237	-	
motb	NZ_JAQSLK010000005.1	113766	114578	-	
mota	NZ_JAQSLK010000005.1	114580	115350	-	
flik	NZ_JAQSLK010000005.1	143114	144883	-	
flip	NZ_JAQSLK010000001.1	209196	209924	+	
flie	NZ_JAQSLK010000001.1	318729	319043	-	
flgc	NZ_JAQSLK010000001.1	319092	319703	-	
flgb	NZ_JAQSLK010000001.1	319713	320168	-	
flgh	NZ_JAQSLK010000002.1	330288	330998	-	
flga	NZ_JAQSLK010000001.1	374619	375125	+	
flgg	NZ_JAQSLK010000001.1	381002	381790	+	
flil	NZ_JAQSLK010000001.1	403233	403790	-	
flha	NZ_JAQSLK010000001.1	437163	439376	-	
