gene	contig	start	end	strand	overlaps
flig	NZ_AP022847.1	564505	565530	+	
flim	NZ_AP022847.1	565693	566652	+	flin
flin	NZ_AP022847.1	566645	567196	+	flim
flgg	NZ_AP022847.1	567970	568770	+	flga
flga	NZ_AP022847.1	568733	569731	+	flgg
flha	NZ_AP022847.1	571829	573916	+	
flgb	NZ_AP022847.1	580203	580580	+	
flgc	NZ_AP022847.1	580583	581005	+	
flie	NZ_AP022847.1	581017	581310	+	
flif	NZ_AP022847.1	581320	582921	+	
flip	NZ_AP022847.1	587945	588718	+	fliq
fliq	NZ_AP022847.1	588715	588984	+	flip
flhb	NZ_AP022847.1	590175	591227	+	
flid	NZ_AP022847.1	599373	600725	+	
flis	NZ_AP022847.1	600735	601103	+	
flgk	NZ_AP022847.1	602351	603694	-	
