gene	contig	start	end	strand	overlaps
flir	NZ_NXLQ01000020.1	210	986	-	
flis	NZ_NXLQ01000026.1	2915	3304	-	
flid	NZ_NXLQ01000026.1	3315	5351	-	
flgk	NZ_NXLQ01000026.1	5928	7748	+	
flgg	NZ_NXLQ01000030.1	17076	17864	+	
flin	NZ_NXLQ01000002.1	17715	18116	-	
flim	NZ_NXLQ01000017.1	21088	22158	+	fliy
flga	NZ_NXLQ01000025.1	21372	22118	-	
fliy	NZ_NXLQ01000017.1	22151	22987	+	flim
flgh	NZ_NXLQ01000025.1	24928	25626	+	
flgd	NZ_NXLQ01000023.1	25967	27334	+	
flha	NZ_NXLQ01000008.1	28090	30324	-	
flif	NZ_NXLQ01000002.1	29596	31287	+	
flig	NZ_NXLQ01000002.1	31307	32338	+	flih
flge	NZ_NXLQ01000011.1	31547	33703	+	
flih	NZ_NXLQ01000002.1	32325	33125	+	flig
flie	NZ_NXLQ01000011.1	39078	39380	-	
flgc	NZ_NXLQ01000011.1	39401	39892	-	
flgb	NZ_NXLQ01000011.1	39928	40386	-	
flhb	NZ_NXLQ01000014.1	49890	51008	+	
motb	NZ_NXLQ01000008.1	57114	57881	-	
mota	NZ_NXLQ01000008.1	57915	58685	-	
flip	NZ_NXLQ01000001.1	102851	103636	+	
fliq	NZ_NXLQ01000002.1	103790	104056	+	
flgl	NZ_NXLQ01000002.1	118742	121300	-	
