gene	contig	start	end	strand	overlaps
flga	NZ_JRMP02000004.1	7446	8108	-	
flir	NZ_JRMP02000017.1	9910	10686	-	
flih	NZ_JRMP02000017.1	11583	12389	-	flig
flig	NZ_JRMP02000017.1	12376	13407	-	flih
flif	NZ_JRMP02000017.1	13428	15119	-	
fliq	NZ_JRMP02000016.1	17481	17747	+	
flhb	NZ_JRMP02000010.1	19189	20310	+	
flip	NZ_JRMP02000008.1	28569	29396	-	
flgl	NZ_JRMP02000010.1	29616	32168	-	
flin	NZ_JRMP02000015.1	31804	32199	+	
flim	NZ_JRMP02000018.1	37505	38575	+	
flgg	NZ_JRMP02000019.1	37588	38376	-	
fliy	NZ_JRMP02000018.1	38960	39802	+	
flha	NZ_JRMP02000002.1	57742	60009	-	
flgd	NZ_JRMP02000004.1	81018	82553	+	
flge	NZ_JRMP02000001.1	92329	94485	-	
motb	NZ_JRMP02000006.1	101479	102249	-	
mota	NZ_JRMP02000006.1	102599	103369	-	
flgh	NZ_JRMP02000004.1	109283	109981	-	
flis	NZ_JRMP02000001.1	110838	111236	+	
flid	NZ_JRMP02000001.1	137906	139936	+	
flgc	NZ_JRMP02000001.1	188351	188842	+	
flie	NZ_JRMP02000001.1	188912	189238	+	
flgk	NZ_JRMP02000003.1	192983	194803	-	
flgb	NZ_JRMP02000001.1	210224	210682	-	
