gene	contig	start	end	strand	overlaps
flhb	NZ_JRPL02000015.1	61	1185	-	
flis	NZ_JRPL02000029.1	1222	1611	-	
flid	NZ_JRPL02000029.1	1621	3660	-	
fliy	NZ_JRPL02000028.1	5349	6185	-	flim
flim	NZ_JRPL02000028.1	6178	7248	-	fliy
flge	NZ_JRPL02000002.1	9533	11689	-	
flgk	NZ_JRPL02000009.1	12611	14431	-	
flha	NZ_JRPL02000015.1	24835	27072	-	
mota	NZ_JRPL02000005.1	26537	27307	+	
flin	NZ_JRPL02000026.1	27396	27782	-	
motb	NZ_JRPL02000005.1	27445	28212	+	
flif	NZ_JRPL02000019.1	33469	35160	+	
flig	NZ_JRPL02000019.1	35178	36209	+	flih
flih	NZ_JRPL02000019.1	36196	36996	+	flig
flgb	NZ_JRPL02000001.1	40671	41129	+	
flgc	NZ_JRPL02000001.1	41175	41666	+	
flie	NZ_JRPL02000001.1	41689	41991	+	
flgl	NZ_JRPL02000013.1	42054	44606	-	
flir	NZ_JRPL02000001.1	47464	48240	+	
flgg	NZ_JRPL02000010.1	49485	50273	-	
flgh	NZ_JRPL02000001.1	58065	58763	+	
flip	NZ_JRPL02000008.1	88658	89428	+	
flgd	NZ_JRPL02000007.1	107028	108533	+	
fliq	NZ_JRPL02000001.1	109467	109733	+	
flga	NZ_JRPL02000002.1	120435	121121	+	
