gene	contig	start	end	strand	overlaps
flif	NZ_CP017111.1	259215	260945	+	flig
flig	NZ_CP017111.1	260942	261970	+	flif
flhb	NZ_CP017111.1	282521	283579	+	
flim	NZ_CP017111.1	380509	381567	+	
fliy	NZ_CP017111.1	381571	382434	+	
flir	NZ_CP017111.1	568042	568842	+	
flin	NZ_CP017111.1	707673	707984	-	
flil	NZ_CP017111.1	1169913	1170449	-	
motb	NZ_CP017111.1	1353141	1353938	-	
mota	NZ_CP017111.1	1353950	1354723	-	
flis	NZ_CP017111.1	1378159	1378536	-	
flid	NZ_CP017111.1	1378554	1380254	-	
flgk	NZ_CP017111.1	1383814	1385661	+	
flip	NZ_CP017111.1	1401390	1402100	+	
flgh	NZ_CP017111.1	1469893	1470597	+	
flgl	NZ_CP017111.1	1554853	1557255	+	
flga	NZ_CP017111.1	1619423	1620160	-	
flha	NZ_CP017111.1	1720885	1723077	+	
flgg	NZ_CP017111.1	1963306	1964094	-	
flie	NZ_CP017111.1	2082819	2083115	-	
flgc	NZ_CP017111.1	2083121	2083615	-	
flgb	NZ_CP017111.1	2083625	2084059	-	
fliq	NZ_CP017111.1	2944253	2944519	+	
flge	NZ_CP017111.1	3025661	3028159	+	
