gene	contig	start	end	strand	overlaps
flge	NZ_CP053830.1	91600	94074	+	
fliq	NZ_CP053830.1	134939	135205	+	
flin	NZ_CP053830.1	154095	154391	+	
flim	NZ_CP053830.1	208424	209515	+	fliy
fliy	NZ_CP053830.1	209505	210344	+	flim
flil	NZ_CP053830.1	239657	240208	-	
flgk	NZ_CP053830.1	376948	378777	-	
flgh	NZ_CP053830.1	656809	657510	-	
flga	NZ_CP053830.1	753236	753937	+	
flis	NZ_CP053830.1	770051	770422	-	
flid	NZ_CP053830.1	770441	772762	-	
flgl	NZ_CP053830.1	831246	833483	-	
flha	NZ_CP053830.1	894272	896431	-	
flip	NZ_CP053830.1	930626	931360	+	
flgg	NZ_CP053830.1	966706	967500	-	
flgb	NZ_CP053830.1	1015220	1015651	+	
flgc	NZ_CP053830.1	1015662	1016156	+	
flie	NZ_CP053830.1	1016160	1016453	+	
flir	NZ_CP053830.1	1040817	1041587	-	
flhb	NZ_CP053830.1	1266474	1267550	-	
motb	NZ_CP053830.1	1273946	1274680	-	
mota	NZ_CP053830.1	1274690	1275463	-	
flih	NZ_CP053830.1	1295779	1296597	-	
flig	NZ_CP053830.1	1296602	1297630	-	
flif	NZ_CP053830.1	1297630	1299315	-	
