gene	contig	start	end	strand	overlaps
flim	NZ_CP036246.2	197356	198471	-	
flid	NZ_CP036246.2	205653	207005	+	
flis	NZ_CP036246.2	207081	207437	+	
flgg	NZ_CP036246.2	330113	330901	-	
flgb	NZ_CP036246.2	333008	333403	+	
flif	NZ_CP036246.2	333416	335134	+	
flig	NZ_CP036246.2	335144	336154	+	
flie	NZ_CP036246.2	349998	350318	+	
flgc	NZ_CP036246.2	350340	350810	+	
flhb	NZ_CP036246.2	353494	354540	+	
flha	NZ_CP036246.2	359008	361119	+	
flip	NZ_CP036246.2	609506	610234	-	
mota	NZ_CP036246.2	1670007	1670759	+	
motb	NZ_CP036246.2	1670773	1671513	+	
