gene	contig	start	end	strand	overlaps
fliq	NZ_CP018789.1	108459	108725	-	
flih	NZ_CP018789.1	190175	190981	-	flig
flig	NZ_CP018789.1	190978	192003	-	flih
flif	NZ_CP018789.1	192003	193706	-	
flhb	NZ_CP018789.1	244655	245731	+	
flgh	NZ_CP018789.1	291689	292396	+	
flir	NZ_CP018789.1	368516	369286	+	
flin	NZ_CP018789.1	389901	390206	-	
flgn	NZ_CP018789.1	447721	448167	+	
flgk	NZ_CP018789.1	448169	450025	+	
flgg	NZ_CP018789.1	650606	651394	+	
flie	NZ_CP018789.1	724650	724940	-	
flgc	NZ_CP018789.1	724946	725440	-	
flgb	NZ_CP018789.1	725451	725891	-	
flga	NZ_CP018789.1	736098	736736	-	
flil	NZ_CP018789.1	881125	881634	-	
flip	NZ_CP018789.1	905977	906702	-	
flha	NZ_CP018789.1	920972	923143	-	
flik	NZ_CP018789.1	981701	983578	+	
flid	NZ_CP018789.1	1024235	1026109	+	
flis	NZ_CP018789.1	1026120	1026506	+	
fliy	NZ_CP018789.1	1363026	1363862	-	flim
flim	NZ_CP018789.1	1363855	1364964	-	fliy
motb	NZ_CP018789.1	1398779	1399495	-	
mota	NZ_CP018789.1	1399504	1400274	-	
