gene	contig	start	end	strand	overlaps
flgg	NZ_CP054051.1	655412	656200	-	
flgb	NZ_CP054051.1	658378	658782	+	
flif	NZ_CP054051.1	658800	660545	+	
flig	NZ_CP054051.1	660549	661553	+	
flie	NZ_CP054051.1	674010	674315	+	
flgc	NZ_CP054051.1	674331	674795	+	
flik	NZ_CP054051.1	674807	676792	+	
flhb	NZ_CP054051.1	677554	678603	+	
flgl	NZ_CP054051.1	681902	683062	+	
flha	NZ_CP054051.1	683082	685196	+	
flip	NZ_CP054051.1	1188280	1188945	-	
mota	NZ_CP054051.1	1839565	1840323	+	
motb	NZ_CP054051.1	1840328	1841080	+	
flim	NZ_CP054051.1	1944168	1945262	-	
flid	NZ_CP054051.1	1952437	1953750	+	
flis	NZ_CP054051.1	1953824	1954180	+	
