gene	contig	start	end	strand	overlaps
flir	NZ_NBIU01000026.1	1428	2198	-	
flgk	NZ_NBIU01000013.1	2009	3826	+	
flgh	NZ_NBIU01000037.1	6091	6789	+	
flip	NZ_NBIU01000042.1	6401	7159	+	
flif	NZ_NBIU01000033.1	7280	9004	+	
flin	NZ_NBIU01000009.1	7652	8011	-	
flig	NZ_NBIU01000033.1	9004	10038	+	flih
flih	NZ_NBIU01000033.1	10031	10897	+	flig
flgg	NZ_NBIU01000034.1	10141	10926	+	
flhb	NZ_NBIU01000036.1	10601	11671	+	
flim	NZ_NBIU01000005.1	12986	14044	+	
flge	NZ_NBIU01000040.1	13265	15577	+	
fliy	NZ_NBIU01000005.1	14054	14893	+	
flie	NZ_NBIU01000013.1	14370	14687	-	
flgc	NZ_NBIU01000013.1	14698	15198	-	
flgb	NZ_NBIU01000013.1	15210	15641	-	
flgl	NZ_NBIU01000003.1	21375	23969	-	
fliq	NZ_NBIU01000005.1	21713	21979	-	
flil	NZ_NBIU01000004.1	29106	29636	-	
flga	NZ_NBIU01000003.1	36157	37053	-	
flha	NZ_NBIU01000003.1	48777	51047	+	
motb	NZ_NBIU01000009.1	52749	53438	-	
mota	NZ_NBIU01000009.1	53451	54218	-	
flgd	NZ_NBIU01000001.1	58734	60008	+	
flid	NZ_NBIU01000004.1	100066	102147	+	
flis	NZ_NBIU01000004.1	102159	102536	+	
