gene	contig	start	end	strand	overlaps
flim	NC_015318.1	217037	218020	+	
flin	NC_015318.1	218032	219021	+	
flgk	NC_015318.1	310516	312258	-	
flgm	NC_015318.1	312716	313015	-	
flge	NC_015318.1	327604	329763	-	
flha	NC_015318.1	609798	611870	-	
flga	NC_015318.1	724308	725195	-	flgg
flgg	NC_015318.1	725158	725946	-	flga
flip	NC_015318.1	864865	865614	+	
fliq	NC_015318.1	865618	865887	+	
flhb	NC_015318.1	866673	867734	+	
flid	NC_015318.1	867780	869153	+	
flis	NC_015318.1	869557	869955	+	
flig	NC_015318.1	1192749	1193777	-	
flif	NC_015318.1	1193789	1195441	-	
flie	NC_015318.1	1195485	1195784	-	
flgc	NC_015318.1	1195819	1196232	-	
flgb	NC_015318.1	1196242	1196640	-	
