gene	contig	start	end	strand	overlaps
flge	NZ_CP041406.1	41090	43231	+	
fliq	NZ_CP041406.1	100694	100960	-	
flid	NZ_CP041406.1	131246	132619	+	
flis	NZ_CP041406.1	132669	133040	+	
flie	NZ_CP041406.1	245466	245771	-	
flgc	NZ_CP041406.1	245785	246279	-	
flgb	NZ_CP041406.1	246289	246720	-	
flir	NZ_CP041406.1	306045	306809	+	
flhb	NZ_CP041406.1	531193	532245	+	
flim	NZ_CP041406.1	550310	551404	+	
fliy	NZ_CP041406.1	551405	552277	+	
flha	NZ_CP041406.1	593687	595867	-	
flip	NZ_CP041406.1	861982	862716	+	
flgg	NZ_CP041406.1	915686	916474	+	
flga	NZ_CP041406.1	1008283	1009158	+	
flin	NZ_CP041406.1	1052401	1052727	+	
flil	NZ_CP041406.1	1313182	1313739	+	
flgh	NZ_CP041406.1	1336273	1336998	-	
flgk	NZ_CP041406.1	1474067	1475950	-	
flgm	NZ_CP041406.1	1476406	1476615	-	
flih	NZ_CP041406.1	1537653	1538432	-	
flig	NZ_CP041406.1	1538437	1539462	-	
flif	NZ_CP041406.1	1539466	1541145	-	
