gene	contig	start	end	strand	overlaps
fliq	NZ_JAGSSY010000002.1	1861	2127	+	
flip	NZ_JAGSSY010000003.1	21306	22037	+	
flgl	NZ_JAGSSY010000003.1	32875	35112	-	
flgg	NZ_JAGSSY010000006.1	43705	44493	+	
flge	NZ_JAGSSY010000002.1	55403	57871	-	
flgb	NZ_JAGSSY010000001.1	64790	65224	+	
flgc	NZ_JAGSSY010000001.1	65233	65730	+	
flil	NZ_JAGSSY010000006.1	65306	65833	+	
flie	NZ_JAGSSY010000001.1	65733	66029	+	
flgh	NZ_JAGSSY010000003.1	92853	93557	+	
flga	NZ_JAGSSY010000003.1	122849	123655	+	
flha	NZ_JAGSSY010000001.1	154030	156201	-	
flgk	NZ_JAGSSY010000003.1	226422	228293	-	
flid	NZ_JAGSSY010000003.1	231801	233594	+	
flis	NZ_JAGSSY010000003.1	233603	233974	+	
fliy	NZ_JAGSSY010000001.1	247249	248094	-	flim
flim	NZ_JAGSSY010000001.1	248084	249181	-	fliy
flhb	NZ_JAGSSY010000001.1	296851	297927	+	
flin	NZ_JAGSSY010000001.1	337803	338129	-	
flih	NZ_JAGSSY010000001.1	354010	354846	-	flig
flig	NZ_JAGSSY010000001.1	354843	355874	-	flih
flif	NZ_JAGSSY010000001.1	355874	357577	-	
flir	NZ_JAGSSY010000001.1	507626	508387	-	
