gene	contig	start	end	strand	overlaps
flge	NZ_CP022347.1	140777	143377	-	
flif	NZ_CP022347.1	173808	175496	+	
flig	NZ_CP022347.1	175496	176524	+	
flih	NZ_CP022347.1	176529	177356	+	
fliy	NZ_CP022347.1	233379	234212	-	flim
flim	NZ_CP022347.1	234209	235294	-	fliy
flir	NZ_CP022347.1	336398	337165	+	
flil	NZ_CP022347.1	345622	346173	-	
flip	NZ_CP022347.1	589538	590281	-	
flid	NZ_CP022347.1	647562	649871	+	
flis	NZ_CP022347.1	649882	650268	+	
flhb	NZ_CP022347.1	678143	679216	-	
flgh	NZ_CP022347.1	694610	695311	+	
flgl	NZ_CP022347.1	712642	714879	+	
flie	NZ_CP022347.1	722739	723035	-	
flgc	NZ_CP022347.1	723039	723533	-	
flgb	NZ_CP022347.1	723544	723975	-	
flgg	NZ_CP022347.1	832511	833302	+	
flha	NZ_CP022347.1	961196	963361	-	
mota	NZ_CP022347.1	976113	976886	+	
motb	NZ_CP022347.1	976895	977629	+	
flga	NZ_CP022347.1	1036582	1037244	+	
flin	NZ_CP022347.1	1242901	1243215	+	
flgk	NZ_CP022347.1	1257406	1259238	-	
flgn	NZ_CP022347.1	1259251	1259685	-	
fliq	NZ_CP022347.1	1631492	1631758	+	
