gene	contig	start	end	strand	overlaps
flip	NZ_VANU01000006.1	14543	15274	-	
flid	NZ_VANU01000007.1	153379	154716	-	
flgk	NZ_VANU01000007.1	154726	155997	-	
flgl	NZ_VANU01000007.1	156386	157519	-	
flis	NZ_VANU01000003.1	164840	165196	-	
flid	NZ_VANU01000003.1	165304	166989	-	
flim	NZ_VANU01000003.1	174243	175340	+	
flha	NZ_VANU01000005.1	206438	208561	-	
flgl	NZ_VANU01000005.1	208578	209930	-	
flhb	NZ_VANU01000005.1	213235	214293	-	
flgc	NZ_VANU01000005.1	217563	218021	-	
flie	NZ_VANU01000005.1	218035	218331	-	
flig	NZ_VANU01000005.1	232712	233716	-	
flif	NZ_VANU01000005.1	233726	235462	-	
flgb	NZ_VANU01000005.1	235479	235886	-	
flgg	NZ_VANU01000005.1	238228	239016	+	
