gene	contig	start	end	strand	overlaps
flge	NZ_CP046072.1	63840	65939	+	
flid	NZ_CP046072.1	205046	206467	+	
flis	NZ_CP046072.1	206562	206933	+	
flie	NZ_CP046072.1	356927	357226	-	
flgc	NZ_CP046072.1	357242	357736	-	
flgb	NZ_CP046072.1	357747	358178	-	
flir	NZ_CP046072.1	499995	500759	+	
flhb	NZ_CP046072.1	807984	809036	+	
flim	NZ_CP046072.1	829357	830448	+	fliy
fliy	NZ_CP046072.1	830441	831310	+	flim
flgh	NZ_CP046072.1	1077768	1078493	+	
flip	NZ_CP046072.1	1262143	1262880	+	
flgg	NZ_CP046072.1	1299948	1300736	+	
flga	NZ_CP046072.1	1390372	1391238	+	
flin	NZ_CP046072.1	1438214	1438555	+	
flil	NZ_CP046072.1	1756914	1757465	+	
flha	NZ_CP046072.1	1961580	1963757	+	
flgk	NZ_CP046072.1	2069508	2071391	-	
flih	NZ_CP046072.1	2130083	2130871	-	
flig	NZ_CP046072.1	2130876	2131904	-	
flif	NZ_CP046072.1	2131916	2133622	-	
fliq	NZ_CP046072.1	2605480	2605746	+	
