gene	contig	start	end	strand	overlaps
fliq	NZ_CAJHOE010000010.1	2211	2477	+	
flir	NZ_CAJHOE010000004.1	28463	29224	-	
flim	NZ_CAJHOE010000003.1	36210	37307	+	fliy
fliy	NZ_CAJHOE010000003.1	37297	38148	+	flim
flif	NZ_CAJHOE010000001.1	51353	53053	+	
flig	NZ_CAJHOE010000001.1	53059	54084	+	flih
flih	NZ_CAJHOE010000001.1	54081	54890	+	flig
flin	NZ_CAJHOE010000001.1	77481	77795	+	
flge	NZ_CAJHOE010000002.1	159997	162456	+	
flhb	NZ_CAJHOE010000001.1	195884	196957	+	
flgb	NZ_CAJHOE010000001.1	314906	315340	+	
flgc	NZ_CAJHOE010000001.1	315351	315854	+	
flie	NZ_CAJHOE010000001.1	315854	316147	+	
flha	NZ_CAJHOE010000001.1	399750	401948	+	
flil	NZ_CAJHOE010000001.1	431420	431956	+	
flgg	NZ_CAJHOE010000001.1	462968	463756	+	
flip	NZ_CAJHOE010000001.1	494046	494777	+	
flis	NZ_CAJHOE010000001.1	624416	624790	-	
flid	NZ_CAJHOE010000001.1	624799	626610	-	
flgk	NZ_CAJHOE010000001.1	630075	631949	+	
flga	NZ_CAJHOE010000001.1	639519	640316	-	
flgh	NZ_CAJHOE010000001.1	665992	666693	+	
