gene	contig	start	end	strand	overlaps
flim	NZ_CP032099.1	184590	185705	-	
flid	NZ_CP032099.1	192956	194290	+	
flis	NZ_CP032099.1	194365	194721	+	
motb	NZ_CP032099.1	355597	356337	-	
mota	NZ_CP032099.1	356346	357098	-	
flip	NZ_CP032099.1	640409	641137	-	
flha	NZ_CP032099.1	1588171	1590282	-	
flgl	NZ_CP032099.1	1590303	1591454	-	
flhb	NZ_CP032099.1	1594759	1595805	-	
flgc	NZ_CP032099.1	1598571	1599038	-	
flie	NZ_CP032099.1	1599054	1599377	-	
flig	NZ_CP032099.1	1613137	1614147	-	
flif	NZ_CP032099.1	1614157	1615872	-	
flgb	NZ_CP032099.1	1615885	1616280	-	
flgg	NZ_CP032099.1	1618452	1619240	+	
