gene	contig	start	end	strand	overlaps
flgg	NZ_CAJHOF010000024.1	1218	2006	+	
flin	NZ_CAJHOF010000007.1	2634	2948	-	
flir	NZ_CAJHOF010000019.1	9792	10553	-	
fliq	NZ_CAJHOF010000006.1	12866	13132	-	
flhb	NZ_CAJHOF010000019.1	18434	19510	-	
flha	NZ_CAJHOF010000008.1	32144	34321	-	
flgb	NZ_CAJHOF010000015.1	35149	35583	+	
flgc	NZ_CAJHOF010000015.1	35590	36093	+	flie
flie	NZ_CAJHOF010000015.1	36090	36383	+	flgc
flip	NZ_CAJHOF010000013.1	42453	43166	-	
flik	NZ_CAJHOF010000014.1	45528	46922	+	
flim	NZ_CAJHOF010000005.1	50782	51882	+	fliy
fliy	NZ_CAJHOF010000005.1	51872	52711	+	flim
flge	NZ_CAJHOF010000010.1	52075	54618	-	
flil	NZ_CAJHOF010000008.1	65886	66419	-	
flga	NZ_CAJHOF010000004.1	88633	89439	+	
flgk	NZ_CAJHOF010000004.1	98304	100178	-	
flid	NZ_CAJHOF010000004.1	103674	105476	+	
flis	NZ_CAJHOF010000004.1	105486	105863	+	
flif	NZ_CAJHOF010000006.1	106867	108567	+	
flig	NZ_CAJHOF010000006.1	108597	109598	+	flih
flih	NZ_CAJHOF010000006.1	109595	110428	+	flig
flgh	NZ_CAJHOF010000004.1	110218	110922	-	
flik	NZ_CAJHOF010000001.1	202715	204370	+	
