gene	contig	start	end	strand	overlaps
flgk	NZ_AP026769.1	40288	42150	-	
flgg	NZ_AP026769.1	161412	162200	+	
flge	NZ_AP026769.1	178356	180512	-	
flif	NZ_AP026769.1	192850	194553	+	flig
flig	NZ_AP026769.1	194550	195581	+	flif,flih
flih	NZ_AP026769.1	195574	196374	+	flig
mota	NZ_AP026769.1	246058	246828	+	
motb	NZ_AP026769.1	246828	247601	+	
flid	NZ_AP026769.1	417258	419327	+	
flis	NZ_AP026769.1	419346	419729	+	
flie	NZ_AP026769.1	453318	453620	-	
flgc	NZ_AP026769.1	453706	454197	-	
flgb	NZ_AP026769.1	454207	454629	-	
flil	NZ_AP026769.1	623357	623899	-	
flgl	NZ_AP026769.1	837093	839624	-	
flin	NZ_AP026769.1	941177	941611	+	
flik	NZ_AP026769.1	990978	991595	+	
flgd	NZ_AP026769.1	991651	992952	+	
flha	NZ_AP026769.1	1083840	1086035	+	
flir	NZ_AP026769.1	1258777	1259544	+	
fliq	NZ_AP026769.1	1399808	1400044	+	
flip	NZ_AP026769.1	1525788	1526540	+	
flgh	NZ_AP026769.1	1588251	1588976	+	
flhb	NZ_AP026769.1	1648179	1649246	+	
fliy	NZ_AP026769.1	1664340	1665221	-	flim
flim	NZ_AP026769.1	1665218	1666279	-	fliy
