gene	contig	start	end	strand	overlaps
flik	NZ_CP053826.1	10310	11734	-	
flge	NZ_CP053826.1	14907	17399	-	
flir	NZ_CP053826.1	396012	396773	+	
mota	NZ_CP053826.1	458689	459462	+	
motb	NZ_CP053826.1	459469	460197	+	
flha	NZ_CP053826.1	758237	760411	+	
flgg	NZ_CP053826.1	803526	804314	+	
flil	NZ_CP053826.1	826940	827479	+	
flip	NZ_CP053826.1	869989	870726	+	
flgh	NZ_CP053826.1	957392	958099	+	
flga	NZ_CP053826.1	1002933	1003739	+	
flgk	NZ_CP053826.1	1117684	1119555	-	
flgn	NZ_CP053826.1	1119558	1119983	-	
flid	NZ_CP053826.1	1123555	1125330	+	
flis	NZ_CP053826.1	1125342	1125713	+	
flgb	NZ_CP053826.1	1295194	1295628	+	
flgc	NZ_CP053826.1	1295637	1296140	+	flie
flie	NZ_CP053826.1	1296137	1296433	+	flgc
fliy	NZ_CP053826.1	1500424	1501284	-	flim
flim	NZ_CP053826.1	1501274	1502374	-	fliy
flhb	NZ_CP053826.1	1549260	1550336	+	
flin	NZ_CP053826.1	1572273	1572590	-	
flih	NZ_CP053826.1	1589309	1590136	-	flig
flig	NZ_CP053826.1	1590133	1591164	-	flih
flif	NZ_CP053826.1	1591164	1592867	-	
fliq	NZ_CP053826.1	1750128	1750397	-	
