gene	contig	start	end	strand	overlaps
flgc	NZ_NXIF01000054.1	783	1244	-	
flie	NZ_NXIF01000054.1	1260	1562	-	
flig	NZ_NXIF01000054.1	15878	16885	-	
flif	NZ_NXIF01000054.1	16885	18618	-	
flgb	NZ_NXIF01000054.1	18635	19039	-	
flgg	NZ_NXIF01000054.1	21454	22242	+	
flip	NZ_NXIF01000002.1	23561	24292	+	
flha	NZ_NXIF01000052.1	35156	37273	-	
flgl	NZ_NXIF01000052.1	37286	38431	-	
flhb	NZ_NXIF01000052.1	41734	42786	-	
flis	NZ_NXIF01000008.1	46433	46789	-	
flid	NZ_NXIF01000008.1	46886	48244	-	
flim	NZ_NXIF01000008.1	55280	56377	+	
