gene	contig	start	end	strand	overlaps
flil	NZ_JAERIS010000005.1	1302	1841	-	
flgg	NZ_JAERIS010000007.1	3032	3820	-	
flgd	NZ_JAERIS010000015.1	3605	4795	-	
flha	NZ_JAERIS010000015.1	8018	10192	+	
flhb	NZ_JAERIS010000002.1	9350	10408	+	
flin	NZ_JAERIS010000022.1	9651	10070	+	
mota	NZ_JAERIS010000027.1	12383	13153	+	
motb	NZ_JAERIS010000027.1	13153	13914	+	
flir	NZ_JAERIS010000010.1	14656	15423	-	
flif	NZ_JAERIS010000023.1	17038	18741	+	
flig	NZ_JAERIS010000023.1	18742	19770	+	flih
flih	NZ_JAERIS010000023.1	19763	20560	+	flig
flga	NZ_JAERIS010000008.1	22255	22926	-	
flgb	NZ_JAERIS010000015.1	24239	24661	+	
flgc	NZ_JAERIS010000015.1	24682	25173	+	
flie	NZ_JAERIS010000015.1	25259	25561	+	
flgl	NZ_JAERIS010000004.1	28468	30999	+	
flim	NZ_JAERIS010000001.1	31466	32527	+	fliy
fliy	NZ_JAERIS010000001.1	32524	33405	+	flim
flis	NZ_JAERIS010000001.1	33779	34162	-	
flid	NZ_JAERIS010000001.1	34192	36255	-	
fliq	NZ_JAERIS010000001.1	50837	51103	+	
flgk	NZ_JAERIS010000002.1	83000	84820	+	
