gene	contig	start	end	strand	overlaps
flif	NZ_CP035534.1	575754	577463	+	
flig	NZ_CP035534.1	577466	578494	+	
flih	NZ_CP035534.1	578498	579277	+	
flgk	NZ_CP035534.1	636919	638799	+	
flha	NZ_CP035534.1	680677	682863	-	
flgh	NZ_CP035534.1	852758	853480	+	
flil	NZ_CP035534.1	875076	875633	-	
flin	NZ_CP035534.1	1004539	1004853	-	
flga	NZ_CP035534.1	1064004	1064879	-	
flgg	NZ_CP035534.1	1172405	1173193	-	
flip	NZ_CP035534.1	1220909	1221646	-	
fliy	NZ_CP035534.1	1614526	1615410	-	
flim	NZ_CP035534.1	1615414	1616514	-	
flhb	NZ_CP035534.1	1635323	1636375	-	
flir	NZ_CP035534.1	1928845	1929609	-	
flgb	NZ_CP035534.1	1999204	1999635	+	
flgc	NZ_CP035534.1	1999648	2000142	+	
flie	NZ_CP035534.1	2000161	2000460	+	
flis	NZ_CP035534.1	2175809	2176183	-	
flid	NZ_CP035534.1	2176354	2177745	+	
fliq	NZ_CP035534.1	2226851	2227117	+	
