gene	contig	start	end	strand	overlaps
flge	NZ_CP007770.1	85038	87506	+	
fliq	NZ_CP007770.1	121599	121868	+	
flin	NZ_CP007770.1	142712	143008	+	
flim	NZ_CP007770.1	203141	204232	+	fliy
fliy	NZ_CP007770.1	204222	205070	+	flim
flil	NZ_CP007770.1	238027	238572	-	
flgk	NZ_CP007770.1	356585	358414	-	
flgh	NZ_CP007770.1	585276	585977	-	
flga	NZ_CP007770.1	684898	685566	+	
flis	NZ_CP007770.1	701109	701480	-	
flid	NZ_CP007770.1	701498	703813	-	
flgl	NZ_CP007770.1	766645	768885	-	
flha	NZ_CP007770.1	865777	867936	-	
flip	NZ_CP007770.1	903435	904169	+	
flgg	NZ_CP007770.1	932526	933320	-	
flgb	NZ_CP007770.1	981043	981474	+	
flgc	NZ_CP007770.1	981485	981979	+	
flie	NZ_CP007770.1	981991	982278	+	
flir	NZ_CP007770.1	1006255	1007025	-	
flhb	NZ_CP007770.1	1242350	1243426	-	
motb	NZ_CP007770.1	1250065	1250799	-	
mota	NZ_CP007770.1	1250811	1251584	-	
flih	NZ_CP007770.1	1266195	1267001	-	
flig	NZ_CP007770.1	1267006	1268034	-	
flif	NZ_CP007770.1	1268034	1269719	-	
