gene	contig	start	end	strand	overlaps
flin	NZ_CP035946.1	92824	93108	+	
flip	NZ_CP035946.1	211250	211978	+	
flif	NZ_CP035946.1	226825	228516	+	flig
flig	NZ_CP035946.1	228513	229544	+	flif
flil	NZ_CP035946.1	408996	409514	-	
flge	NZ_CP035946.1	415804	418362	+	
flir	NZ_CP035946.1	604482	605249	+	
flgg	NZ_CP035946.1	659326	660114	+	
flhb	NZ_CP035946.1	708320	709375	+	
mota	NZ_CP035946.1	788208	788981	+	
motb	NZ_CP035946.1	788984	789712	+	
flgh	NZ_CP035946.1	942709	943380	-	
flha	NZ_CP035946.1	956893	959064	+	
fliy	NZ_CP035946.1	1246658	1247488	-	flim
flim	NZ_CP035946.1	1247454	1248551	-	fliy
flga	NZ_CP035946.1	1410892	1411503	+	
flie	NZ_CP035946.1	1434597	1434905	-	
flgc	NZ_CP035946.1	1434916	1435407	-	
flgb	NZ_CP035946.1	1435417	1435887	-	
flid	NZ_CP035946.1	1468039	1470315	+	
flis	NZ_CP035946.1	1470324	1470701	+	
flgk	NZ_CP035946.1	1544758	1546608	-	
fliq	NZ_CP035946.1	1713292	1713558	+	
