gene	contig	start	end	strand	overlaps
flha	NZ_CM000776.2	186825	189083	+	
flhb	NZ_CM000776.2	319997	321070	-	
flge	NZ_CM000776.2	333155	335410	-	
flin	NZ_CM000776.2	393121	393480	-	
flie	NZ_CM000776.2	404874	405191	-	
flgc	NZ_CM000776.2	405202	405702	-	
flgb	NZ_CM000776.2	405714	406148	-	
flgg	NZ_CM000776.2	406416	407207	-	
fliq	NZ_CM000776.2	469154	469420	-	
flir	NZ_CM000776.2	489273	490043	-	
flgk	NZ_CM000776.2	592483	594312	-	
flis	NZ_CM000776.2	911151	911531	-	
flid	NZ_CM000776.2	911552	913621	-	
flgl	NZ_CM000776.2	929876	932500	-	
flih	NZ_CM000776.2	949454	950323	-	flig
flig	NZ_CM000776.2	950316	951350	-	flih
flif	NZ_CM000776.2	951353	953083	-	
flip	NZ_CM000776.2	1021528	1022259	+	
flgd	NZ_CM000776.2	1072311	1073381	-	
flga	NZ_CM000776.2	1242710	1243606	-	
flil	NZ_CM000776.2	1312695	1313228	+	
flgh	NZ_CM000776.2	1366200	1366934	+	
flim	NZ_CM000776.2	1413074	1414132	+	
fliy	NZ_CM000776.2	1414141	1414998	+	
