gene	contig	start	end	strand	overlaps
flgh	NZ_QXQQ01000038.1	3151	3849	+	
flge	NZ_QXQQ01000010.1	6670	8826	-	
flir	NZ_QXQQ01000022.1	7873	8640	-	
flid	NZ_QXQQ01000031.1	12748	14811	+	
flgg	NZ_QXQQ01000034.1	13133	13921	+	
flis	NZ_QXQQ01000031.1	14841	15224	+	
flgl	NZ_QXQQ01000020.1	15687	18218	-	
flin	NZ_QXQQ01000033.1	19589	20008	+	
flgk	NZ_QXQQ01000025.1	21580	23403	+	
flga	NZ_QXQQ01000006.1	22971	23630	-	
flil	NZ_QXQQ01000007.1	25847	26392	-	
flip	NZ_QXQQ01000004.1	39207	39935	+	
flgb	NZ_QXQQ01000003.1	47442	47864	+	
flgc	NZ_QXQQ01000003.1	47879	48370	+	
flie	NZ_QXQQ01000003.1	48452	48754	+	
flha	NZ_QXQQ01000002.1	62060	64258	-	
flgd	NZ_QXQQ01000002.1	67389	68366	+	
flih	NZ_QXQQ01000002.1	85699	86490	-	flig
flig	NZ_QXQQ01000002.1	86483	87511	-	flih
flif	NZ_QXQQ01000002.1	87512	89215	-	
flhb	NZ_QXQQ01000003.1	103906	104964	-	
motb	NZ_QXQQ01000001.1	156773	157537	-	
mota	NZ_QXQQ01000001.1	157537	158307	-	
fliq	NZ_QXQQ01000001.1	161138	161404	-	
fliy	NZ_QXQQ01000001.1	173402	174286	-	flim
flim	NZ_QXQQ01000001.1	174283	175344	-	fliy
