gene	contig	start	end	strand	overlaps
flgg	NZ_CAGP01000012.1	474	1262	+	
flha	NZ_CAGP01000048.1	2141	4339	+	
flis	NZ_CAGP01000127.1	4411	4794	+	
flgd	NZ_CAGP01000101.1	7522	8727	-	
flge	NZ_CAGP01000068.1	11765	13921	-	
flin	NZ_CAGP01000107.1	13550	13969	-	
flgh	NZ_CAGP01000061.1	13764	14477	+	
fliy	NZ_CAGP01000104.1	17995	18876	-	
mota	NZ_CAGP01000121.1	18993	19763	+	
fliq	NZ_CAGP01000129.1	20151	20417	-	
flig	NZ_CAGP01000090.1	38569	39597	+	
flie	NZ_CAGP01000129.1	50176	50478	-	
flgb	NZ_CAGP01000129.1	51058	51480	-	
