gene	contig	start	end	strand	overlaps
flgk	NZ_AP022826.1	1272581	1273993	+	
flgl	NZ_AP022826.1	1274041	1274985	+	
flis	NZ_AP022826.1	1275214	1275582	-	
flid	NZ_AP022826.1	1275603	1276952	-	
flhb	NZ_AP022826.1	1285016	1286065	-	
fliq	NZ_AP022826.1	1286839	1287108	-	flip
flip	NZ_AP022826.1	1287105	1287857	-	fliq
flif	NZ_AP022826.1	1293347	1294939	-	
flie	NZ_AP022826.1	1294950	1295240	-	
flgc	NZ_AP022826.1	1295338	1295760	-	
flgb	NZ_AP022826.1	1295763	1296140	-	
flha	NZ_AP022826.1	1302918	1305008	-	
flga	NZ_AP022826.1	1307215	1308198	-	flgg
flgg	NZ_AP022826.1	1308161	1308961	-	flga
flin	NZ_AP022826.1	1309733	1310227	-	flim
flim	NZ_AP022826.1	1310220	1311179	-	flin
flig	NZ_AP022826.1	1311347	1312369	-	
