gene	contig	start	end	strand	overlaps
flie	NZ_QXQT01000022.1	1862	2164	-	
flgc	NZ_QXQT01000022.1	2247	2738	-	
flgb	NZ_QXQT01000022.1	2753	3175	-	
flil	NZ_QXQT01000027.1	8501	9043	+	
flge	NZ_QXQT01000011.1	9804	11960	+	
flid	NZ_QXQT01000025.1	13490	15553	+	
flis	NZ_QXQT01000025.1	15581	15964	+	
flim	NZ_QXQT01000006.1	22950	24011	+	
fliy	NZ_QXQT01000006.1	24011	24892	+	
flgh	NZ_QXQT01000004.1	24682	25386	+	
flga	NZ_QXQT01000008.1	33524	34183	-	
flhb	NZ_QXQT01000014.1	36027	37085	-	
fliq	NZ_QXQT01000006.1	36880	37146	+	
mota	NZ_QXQT01000006.1	39852	40622	+	
flir	NZ_QXQT01000013.1	40083	40850	-	
motb	NZ_QXQT01000006.1	40622	41380	+	
flha	NZ_QXQT01000005.1	61123	63321	-	
flik	NZ_QXQT01000005.1	64998	66395	+	
flif	NZ_QXQT01000003.1	65269	66972	+	
flgd	NZ_QXQT01000005.1	66469	67599	+	
flig	NZ_QXQT01000003.1	66973	68001	+	flih
flih	NZ_QXQT01000003.1	67994	68791	+	flig
flin	NZ_QXQT01000001.1	88357	88776	-	
flgk	NZ_QXQT01000004.1	94145	95965	-	
flgl	NZ_QXQT01000002.1	107062	109593	-	
