gene	contig	start	end	strand	overlaps
flha	NZ_JANURM010000008.1	4050	6215	-	
flim	NZ_JANURM010000003.1	30151	31245	+	fliy
fliy	NZ_JANURM010000003.1	31235	32074	+	flim
flif	NZ_JANURM010000004.1	59046	60743	+	
flig	NZ_JANURM010000004.1	60743	61774	+	flih
flih	NZ_JANURM010000004.1	61771	62583	+	flig
flin	NZ_JANURM010000004.1	65757	66074	-	
flgh	NZ_JANURM010000002.1	78351	79058	+	
flip	NZ_JANURM010000001.1	81734	82468	+	
flir	NZ_JANURM010000004.1	86783	87544	+	
flge	NZ_JANURM010000003.1	94842	97439	+	
fliq	NZ_JANURM010000004.1	99931	100197	+	
flga	NZ_JANURM010000002.1	103457	104260	-	
flhb	NZ_JANURM010000003.1	167255	168331	-	
flgb	NZ_JANURM010000001.1	171585	172019	+	
flgc	NZ_JANURM010000001.1	172029	172523	+	
flie	NZ_JANURM010000001.1	172523	172816	+	
flgg	NZ_JANURM010000001.1	180220	181008	-	
flil	NZ_JANURM010000002.1	189613	190149	-	
flgk	NZ_JANURM010000002.1	228918	230792	-	
flid	NZ_JANURM010000002.1	235789	237621	+	
flis	NZ_JANURM010000002.1	237630	238007	+	
flip	NZ_JANURM010000001.1	293060	293794	+	
