gene	contig	start	end	strand	overlaps
motb	NZ_CP016503.1	36207	36983	-	
mota	NZ_CP016503.1	36993	37763	-	
flik	NZ_CP016503.1	44222	45487	+	
flgd	NZ_CP016503.1	45500	46423	+	
flif	NZ_CP016503.1	68236	69963	+	
flig	NZ_CP016503.1	69973	71004	+	
fliq	NZ_CP016503.1	186729	186995	+	
flis	NZ_CP016503.1	341615	341989	-	
flid	NZ_CP016503.1	342007	344037	-	
flge	NZ_CP016503.1	370396	372540	-	
flim	NZ_CP016503.1	390834	391886	+	
fliy	NZ_CP016503.1	391898	392761	+	
flgb	NZ_CP016503.1	492338	492769	+	
flgc	NZ_CP016503.1	492780	493274	+	
flie	NZ_CP016503.1	493285	493599	+	
flin	NZ_CP016503.1	568729	569082	+	
flgg	NZ_CP016503.1	615712	616500	-	
flgh	NZ_CP016503.1	631592	632338	+	
flha	NZ_CP016503.1	733548	735740	+	
flhb	NZ_CP016503.1	984519	985607	-	
flip	NZ_CP016503.1	1128166	1128873	+	
flir	NZ_CP016503.1	1316131	1316904	+	
flgl	NZ_CP016503.1	1334237	1336756	-	
flga	NZ_CP016503.1	1402622	1403473	+	
flgk	NZ_CP016503.1	1436707	1438524	+	
