gene	contig	start	end	strand	overlaps
flid	NC_005090.1	154896	156944	+	
flis	NC_005090.1	156963	157352	+	
flir	NC_005090.1	193277	194044	-	
flgk	NC_005090.1	259897	261726	-	
flgl	NC_005090.1	498915	501455	-	
flga	NC_005090.1	598308	599201	+	
flha	NC_005090.1	1016042	1018291	-	
flin	NC_005090.1	1020516	1020869	-	
fliq	NC_005090.1	1426497	1426763	-	
fliy	NC_005090.1	1553681	1554550	-	flim
flim	NC_005090.1	1554547	1555611	-	fliy
flie	NC_005090.1	1582658	1582960	-	
flgc	NC_005090.1	1582979	1583473	-	
flgb	NC_005090.1	1583502	1583939	-	
flge	NC_005090.1	1654233	1656383	-	
flgd	NC_005090.1	1658696	1659508	-	
flik	NC_005090.1	1659518	1661404	-	
flgg	NC_005090.1	1701960	1702751	+	
flil	NC_005090.1	1869547	1870083	+	
flih	NC_005090.1	1897119	1897970	-	flig
flig	NC_005090.1	1897963	1898988	-	flih
flif	NC_005090.1	1898998	1900731	-	
flhb	NC_005090.1	1909927	1910985	+	
flip	NC_005090.1	1979772	1980509	+	
flgh	NC_005090.1	1991215	1991931	+	
