gene	contig	start	end	strand	overlaps
fliq	NZ_VXKE01000023.1	5201	5467	-	
flis	NZ_VXKE01000005.1	13256	13636	-	
flid	NZ_VXKE01000005.1	13667	15691	-	
flhb	NZ_VXKE01000022.1	18694	19773	-	
flih	NZ_VXKE01000005.1	26653	27447	-	flig
flig	NZ_VXKE01000005.1	27434	28468	-	flih
flif	NZ_VXKE01000005.1	28477	30165	-	
flgb	NZ_VXKE01000007.1	29875	30324	+	
flgc	NZ_VXKE01000007.1	30335	30829	+	
flie	NZ_VXKE01000007.1	30908	31222	+	
flge	NZ_VXKE01000001.1	33100	35250	-	
flir	NZ_VXKE01000014.1	35562	36332	-	
flga	NZ_VXKE01000014.1	57144	57821	-	
mota	NZ_VXKE01000019.1	76362	77132	+	
motb	NZ_VXKE01000019.1	77142	77951	+	
flgg	NZ_VXKE01000006.1	79369	80157	-	
flgh	NZ_VXKE01000012.1	85326	86105	-	
flin	NZ_VXKE01000005.1	97046	97411	-	
fliy	NZ_VXKE01000016.1	110999	111835	-	
flim	NZ_VXKE01000016.1	111899	112966	-	
flip	NZ_VXKE01000021.1	185067	185831	+	
flgk	NZ_VXKE01000021.1	186879	188705	-	
flgl	NZ_VXKE01000021.1	195259	197811	+	
flha	NZ_VXKE01000021.1	324497	326701	-	
